EventID,EventName,EventSource,EventTime,EventRegion,EventOutcome,Username
50ec57dc-5f4d-44f7-b1f0-029c3ddcc6de,ModifyInstanceAttribute,ec2.amazonaws.com,2024-10-03 16:10:54 +0000 UTC,us-east-1,Successo,marco_admin
050dbdf6-1002-4bd5-b124-473270ad78af,ModifyInstanceAttribute,ec2.amazonaws.com,2024-10-03 16:10:51 +0000 UTC,us-east-1,Successo,marco_admin
faccfe9e-11de-489e-9f34-c8a77c1cf945,DescribeSecurityGroups,ec2.amazonaws.com,2024-10-03 16:10:50 +0000 UTC,us-east-1,Successo,marco_admin
2e5b522a-daa6-49b8-99d7-d8b0b6845d3c,ModifyInstanceAttribute,ec2.amazonaws.com,2024-10-03 16:10:49 +0000 UTC,us-east-1,Successo,marco_admin
aa05fb0d-3165-4956-af7e-9a544fdb2c29,DescribeInstances,ec2.amazonaws.com,2024-10-03 16:10:47 +0000 UTC,us-east-1,Successo,marco_admin
f8738e7b-66b7-4be5-bfa1-5a2cf2904da0,DescribeInstances,ec2.amazonaws.com,2024-10-03 16:10:33 +0000 UTC,us-east-1,Successo,marco_admin
19dc95b4-6972-4a16-870c-8e18567635ad,ListRoles,iam.amazonaws.com,2024-10-03 16:10:32 +0000 UTC,us-east-1,Successo,marco_admin
e6407471-5b28-403c-a1ae-51373289f3ee,DescribeInstances,ec2.amazonaws.com,2024-10-03 16:10:31 +0000 UTC,us-east-1,Successo,marco_admin
cef8518b-ef2f-4c3b-81f8-2a72f09e412f,LookupEvents,cloudtrail.amazonaws.com,2024-10-03 16:10:28 +0000 UTC,us-east-1,Successo,marco_admin
5b2137db-a010-46e9-b2b7-5102e7d0a8e8,LookupEvents,cloudtrail.amazonaws.com,2024-10-03 16:10:27 +0000 UTC,us-east-1,Successo,marco_admin
0412f747-d5ca-45a9-be9e-9a7b59613157,DescribeFlowLogs,ec2.amazonaws.com,2024-10-03 16:10:26 +0000 UTC,us-east-1,Successo,marco_admin
a215072c-0df2-4293-a4c7-350654f33c6c,GetTrailStatus,cloudtrail.amazonaws.com,2024-10-03 16:10:26 +0000 UTC,us-east-1,Successo,marco_admin
1c2ea5cd-86b0-4c90-97eb-09a8d67f91ac,ListAttachedUserPolicies,iam.amazonaws.com,2024-10-03 16:10:25 +0000 UTC,us-east-1,Successo,marco_admin
c9b1f219-23c7-4d4e-b10a-d7e8706e744e,ListUsers,iam.amazonaws.com,2024-10-03 16:10:25 +0000 UTC,us-east-1,Successo,marco_admin
a074437f-7ba4-4d3f-b77e-135e1b80f43d,ListAttachedUserPolicies,iam.amazonaws.com,2024-10-03 16:10:23 +0000 UTC,us-east-1,Successo,marco_admin
dc4572c5-9d01-418e-9b29-4f428d6dc548,DescribeSessions,ssm.amazonaws.com,2024-10-03 16:10:23 +0000 UTC,us-east-1,Successo,marco_admin
6820437d-6e8a-4c8d-89c8-aaab0c579562,ListAttachedRolePolicies,iam.amazonaws.com,2024-10-03 16:10:22 +0000 UTC,us-east-1,Successo,marco_admin
